,Player,Pos,Year,Tm
4,Quincy Morgan,WR,2002,CLE
5,Mark Campbell,TE,2002,CLE
6,Steve Heiden,TE,2002,CLE
1,Chad Hutchinson,QB,2002,DAL
2,Emmitt Smith,RB,2002,DAL
3,Robert Thomas,FB,2002,DAL
4,Antonio Bryant,WR,2002,DAL
5,Joey Galloway,WR,2002,DAL
6,Tony McGee,TE,2002,DAL
1,Brian Griese,QB,2002,DEN
2,Clinton Portis,RB,2002,DEN
3,Mike Anderson,FB,2002,DEN
4,Ed McCaffrey,WR,2002,DEN
5,Rod Smith,WR,2002,DEN
6,Shannon Sharpe,TE,2002,DEN
1,Joey Harrington,QB,2002,DET
2,James Stewart,RB,2002,DET
3,Cory Schlesinger,FB,2002,DET
4,AzZahir Hakim,WR,2002,DET
5,Bill Schroeder,WR,2002,DET
6,Mikhael Ricks,TE,2002,DET
1,Brett Favre,QB,2002,GNB
2,Ahman Green,RB,2002,GNB
3,William Henderson,FB,2002,GNB
4,Donald Driver,WR,2002,GNB
5,Terry Glenn,WR,2002,GNB
6,Bubba Franks,TE,2002,GNB
1,Peyton Manning,QB,2002,IND
2,Edgerrin James,RB,2002,IND
3,Marvin Harrison,WR,2002,IND
4,Qadry Ismail,WR,2002,IND
5,Reggie Wayne,WR,2002,IND
6,Marcus Pollard,TE,2002,IND
1,Mark Brunell,QB,2002,JAX
2,Fred Taylor,RB,2002,JAX
3,Bobby Shaw,WR,2002,JAX
4,Jimmy Smith,WR,2002,JAX
5,Kyle Brady,TE,2002,JAX
6,Pete Mitchell,TE,2002,JAX
1,Trent Green,QB,2002,KAN
2,Priest Holmes,RB,2002,KAN
3,Tony Richardson,FB,2002,KAN
4,Eddie Kennison,WR,2002,KAN
5,Johnnie Morton,WR,2002,KAN
6,Tony Gonzalez,TE,2002,KAN
1,Rich Gannon,QB,2002,LVR
2,Charlie Garner,RB,2002,LVR
3,Tim Brown,WR,2002,LVR
4,Jerry Porter,WR,2002,LVR
5,Jerry Rice,WR,2002,LVR
6,Roland Williams,TE,2002,LVR
1,Drew Brees,QB,2002,LAC
2,LaDainian Tomlinson,RB,2002,LAC
3,Fred McCrary,FB,2002,LAC
4,Curtis Conway,WR,2002,LAC
5,Tim Dwight,WR,2002,LAC
6,Stephen Alexander,TE,2002,LAC
1,Marc Bulger,QB,2002,LAR
2,Marshall Faulk,RB,2002,LAR
3,Isaac Bruce,WR,2002,LAR
4,Torry Holt,WR,2002,LAR
5,Ernie Conwell,TE,2002,LAR
6,Brandon Manumaleuna,TE,2002,LAR
1,Jay Fiedler,QB,2002,MIA
2,Ricky Williams,RB,2002,MIA
3,Rob Konrad,FB,2002,MIA
4,Chris Chambers,WR,2002,MIA
5,James McKnight,WR,2002,MIA
6,Randy McMichael,TE,2002,MIA
1,Daunte Culpepper,QB,2002,MIN
2,Michael Bennett,RB,2002,MIN
3,DWayne Bates,WR,2002,MIN
4,Randy Moss,WR,2002,MIN
5,Byron Chamberlain,TE,2002,MIN
6,Jim Kleinsasser,TE,2002,MIN
1,Tom Brady,QB,2002,NWE
2,Antowain Smith,RB,2002,NWE
3,Marc Edwards,FB,2002,NWE
4,Troy Brown,WR,2002,NWE
5,David Patten,WR,2002,NWE
